anio,poblacion,pib,tecnologia,energia,comida,tension,infectados,socios,contaminacion
910,108621,3527.91,1.3151,132002294,217002912,11.9,10958,africa,25811.0
911,108871,3530.89,1.3151,132325874,217536887,11.9,10233,africa,25826.67
912,109114,3534.12,1.3151,132649981,218071732,11.9,10234,africa,25842.34
913,109036,3537.09,1.3151,132974679,218607425,11.9,11932,asia,25858.01
914,109333,3540.3,1.3151,133299903,219144382,11.9,10188,america,25873.67
915,109842,3543.5,1.3151,133625719,219682122,11.91,8945,america,25889.34
916,110140,3546.69,1.3151,133952061,220220422,11.91,9807,america,25905.0
917,110296,3549.87,1.3151,134278995,220759504,11.91,10488,asia,25920.67
918,110409,3552.79,1.3151,134606521,221299569,11.91,10773,asia,25936.33
919,110677,3555.95,1.3151,134934572,221840668,11.91,10030,america,25951.99
920,111038,3559.11,1.3151,135263216,222382586,11.92,9480,africa,25967.64
921,110853,3562.25,1.3151,135592385,222925270,11.92,12268,africa,25983.3
922,110953,3565.38,1.3151,135922147,223469316,11.92,11110,africa,25998.95
923,111083,3568.51,1.3151,136252500,224014413,11.92,11061,asia,26014.6
924,111379,3571.62,1.3151,136583379,224560553,11.92,10255,asia,26030.25
925,111263,3574.73,1.3151,136914850,225107478,11.92,12379,asia,26045.9
926,111354,3577.82,1.3151,137246913,225655713,11.92,11586,america,26061.54
927,111774,3580.91,1.3151,137579501,226205038,11.92,9943,asia,26077.18
928,112184,3584.23,1.3151,137912682,226755029,11.92,9787,africa,26092.83
929,112682,3587.3,1.3151,138246454,227305698,11.92,8580,asia,26108.47
930,113128,3590.36,1.3151,138580819,227856970,11.93,8254,america,26124.11
931,113546,3593.65,1.3151,138915709,228408876,11.93,7282,asia,26139.75
932,113863,3596.45,1.3151,139251191,228961481,11.94,9413,asia,26155.38
933,114037,3599.72,1.3151,139587265,229514876,11.94,10073,america,26171.01
934,114362,3602.74,1.3151,139923930,230069261,11.94,8877,africa,26186.64
935,114144,3606.0,1.3151,140261188,230624427,11.94,12113,america,26202.27
936,114320,3609.25,1.3151,140598971,231181054,11.94,10413,africa,26217.9
937,114700,3612.0,1.3151,140937346,231738670,11.94,9164,asia,26233.52
938,115067,3615.22,1.3151,141276313,232297000,11.94,8093,america,26249.14
939,115408,3618.44,1.3151,141615872,232856090,11.94,7833,america,26264.76
940,115724,3621.41,1.3151,141956023,233415970,11.95,7690,africa,26280.37
941,115762,3624.36,1.3151,142296765,233976671,11.95,10676,america,26295.97
942,115939,3627.55,1.3151,142638099,234538527,11.95,10093,america,26311.58
943,116209,3630.73,1.3151,142979960,235101370,11.95,9637,america,26327.18
944,116493,3633.66,1.3151,143322412,235665089,11.95,9295,america,26342.78
945,116539,3636.82,1.3151,143665455,236229668,11.95,10724,africa,26358.37
946,116711,3640.21,1.3151,144009091,236795391,11.95,10208,africa,26373.98
947,117021,3643.11,1.3151,144353318,237362108,11.95,9033,asia,26389.57
948,117122,3646.24,1.3151,144698138,237929652,11.96,10544,asia,26405.16
949,117424,3649.12,1.3151,145043549,238498306,11.96,9327,asia,26420.74
950,117712,3652.24,1.3151,145389551,239067797,11.96,9143,asia,26436.32
951,118004,3655.58,1.3151,145736146,239638143,11.96,8121,africa,26451.91
952,118271,3658.43,1.3151,146083333,240209368,11.96,8509,africa,26467.48
953,118519,3661.76,1.3151,146431111,240781473,11.97,8819,asia,26483.07
954,118754,3664.59,1.3151,146779481,241354510,11.97,9055,asia,26498.63
955,118938,3667.9,1.3151,147128442,241928465,11.97,9910,asia,26514.21
956,119176,3670.96,1.3151,147477996,242503430,11.97,8816,asia,26529.78
957,119390,3673.77,1.3151,147828141,243079338,11.97,9668,africa,26545.33
958,119611,3677.04,1.3151,148178879,243656220,11.97,9279,asia,26560.89
959,119834,3680.07,1.3151,148530208,244234037,11.97,9040,africa,26576.45
960,119869,3683.33,1.3151,148882128,244812816,11.97,10735,america,26592.01
961,119964,3686.34,1.3151,149234641,245392784,11.97,10598,africa,26607.56
962,120230,3689.34,1.3151,149587745,245973867,11.97,9421,america,26623.11
963,120341,3692.57,1.3151,149941441,246555861,11.98,10586,america,26638.66
964,120614,3695.32,1.3151,150295795,247138952,11.98,9410,america,26654.19
965,120474,3698.53,1.3151,150650741,247722945,11.98,11996,africa,26669.73
966,120552,3701.73,1.3151,151006278,248308336,11.98,11174,asia,26685.26
967,120893,3704.68,1.3151,151362407,248894893,11.98,9903,asia,26700.79
968,121086,3707.86,1.3151,151719128,249482272,11.98,10582,america,26716.32
969,121160,3710.8,1.3151,152076440,250070679,11.98,11258,africa,26731.84
970,121322,3713.73,1.3151,152434411,250660227,11.98,10925,asia,26747.36
971,121347,3717.12,1.3151,152792973,251250810,11.98,11727,africa,26762.88
972,121673,3720.03,1.3151,153152127,251842624,11.98,10297,asia,26778.39
973,122022,3723.16,1.3151,153511872,252435306,11.98,10083,africa,26793.9
974,122270,3726.05,1.3151,153872275,253028800,11.98,10504,asia,26809.41
975,122534,3729.17,1.3151,154233270,253623256,11.99,10396,america,26824.91
976,122873,3732.28,1.3151,154594857,254218655,11.99,9219,asia,26840.4
977,123207,3735.37,1.3151,154957036,254814907,11.99,8200,asia,26855.9
978,123537,3738.46,1.3151,155319872,255411989,11.99,7317,africa,26871.4
979,123846,3741.54,1.3151,155683299,256009935,11.99,7206,africa,26886.89
980,124062,3744.61,1.3151,156047319,256608799,12.0,10233,america,26902.38
981,124256,3747.67,1.3151,156411996,257208635,12.0,10354,asia,26917.86
982,124331,3750.72,1.3151,156777265,257809528,12.0,11032,africa,26933.35
983,124596,3753.77,1.3151,157143126,258411591,12.0,9815,america,26948.82
984,124417,3756.8,1.3151,157509645,259014596,12.0,12511,africa,26964.3
985,124453,3760.06,1.3151,157876755,259619075,12.0,11744,africa,26979.78
986,124396,3763.07,1.3151,158244522,260224772,12.0,12429,africa,26995.25
987,124512,3766.08,1.3151,158612882,260831826,12.0,11782,africa,27010.72
988,124793,3769.3,1.3151,158981833,261440002,12.0,11008,africa,27026.19
989,125076,3772.06,1.3151,159351442,262049130,12.0,10948,asia,27041.65
990,125081,3775.27,1.3151,159721643,262659209,12.0,12391,asia,27057.11
991,125212,3778.24,1.3151,160092501,263270542,12.0,11929,africa,27072.56
992,125630,3781.43,1.3151,160463951,263883008,12.0,10489,africa,27088.01
993,126069,3784.61,1.3151,160836059,264496232,12.0,9289,america,27103.47
994,126464,3787.55,1.3151,161208758,265110219,12.01,9311,africa,27118.92
995,126846,3790.71,1.3151,161582115,265725022,12.01,8281,asia,27134.37
996,127201,3793.87,1.3151,161956063,266340657,12.01,8072,america,27149.83
997,127516,3796.78,1.3151,162330670,266957156,12.01,8700,asia,27165.27
998,127779,3799.69,1.3151,162705933,267574566,12.02,10264,asia,27180.7
999,128057,3803.04,1.3151,163081789,268192952,12.02,9148,africa,27196.14
